configuración,recall@5,aciertos,pos. mediana,latencia/preg (s),coste,fallan
1 · denso plano (baseline),0.2692307692307692,7/26,999.0,0.008804238461240087,0 llamadas al LLM,"['of-001', 'of-004', 'of-005', 'of-006', 'of-015', 'of-016', 'of-018', 'of-019', 'of-020', 'gp-002', 'gp-003', 'gp-005', 'gp-006', 'gp-015', 'gp-016', 'gp-017', 'gp-018', 'gp-019', 'gp-020']"
2 · + filtro de metadatos,0.5384615384615384,14/26,4.5,0.009963015384318378,0 llamadas al LLM,"['of-001', 'of-004', 'of-005', 'of-015', 'of-016', 'of-018', 'of-019', 'gp-003', 'gp-016', 'gp-017', 'gp-019', 'gp-020']"
3 · + híbrido BM25 (RRF),0.46153846153846156,12/26,999.0,0.025687099999721304,"0 llamadas, +1 índice léxico en memoria","['of-001', 'of-002', 'of-004', 'of-015', 'of-016', 'of-018', 'of-019', 'gp-002', 'gp-003', 'gp-016', 'gp-017', 'gp-018', 'gp-019', 'gp-020']"
4 · + reescritura de consulta (LLM),0.7692307692307693,20/26,2.0,6.979575807692107,1 llamada al LLM por búsqueda,"['of-001', 'of-015', 'of-018', 'gp-016', 'gp-017', 'gp-018']"
5 · reescritura + híbrido,0.7307692307692307,19/26,2.0,0.02345023076934292,1 llamada + índice léxico,"['of-001', 'of-015', 'gp-002', 'gp-003', 'gp-015', 'gp-017', 'gp-018']"
6 · + reranking cross-encoder (SISTEMA FINAL),0.7692307692307693,20/26,2.0,0.97999325384612,1 llamada + índice léxico + 50 pares en cross-encoder,"['of-001', 'of-004', 'of-005', 'of-015', 'gp-003', 'gp-018']"
7 · re-troceado 256 tok / 32 solape,0.5,13/26,501.0,0.8082631923075846,reindexar el corpus entero (256/32),"['of-001', 'of-004', 'of-016', 'of-018', 'of-019', 'gp-003', 'gp-006', 'gp-007', 'gp-015', 'gp-017', 'gp-018', 'gp-019', 'gp-020']"
7 · re-troceado 400 tok / 80 solape,0.5,13/26,501.5,0.9151204999999698,reindexar el corpus entero (400/80),"['of-001', 'of-002', 'of-004', 'of-014', 'of-015', 'of-018', 'gp-002', 'gp-003', 'gp-015', 'gp-016', 'gp-017', 'gp-018', 'gp-020']"
7 · re-troceado 512 tok / 64 solape,0.5769230769230769,15/26,4.0,0.8544331692308054,reindexar el corpus entero (512/64),"['of-001', 'of-002', 'of-004', 'of-018', 'of-019', 'gp-003', 'gp-016', 'gp-017', 'gp-018', 'gp-019', 'gp-020']"
7 · re-troceado 768 tok / 128 solape,0.5769230769230769,15/26,4.5,0.6582488500000461,reindexar el corpus entero (768/128),"['of-001', 'of-002', 'of-004', 'of-005', 'gp-002', 'gp-003', 'gp-005', 'gp-016', 'gp-017', 'gp-018', 'gp-020']"
8 · embeddings bge-small-en-v1.5,0.5384615384615384,14/26,4.5,0.8503700384613834,el del índice que se entrega · 384 dim · local,"['of-001', 'of-004', 'of-005', 'of-015', 'of-016', 'of-018', 'of-019', 'gp-003', 'gp-016', 'gp-017', 'gp-019', 'gp-020']"
8 · embeddings all-MiniLM-L6-v2,0.34615384615384615,9/26,999.0,0.3318319615388576,384 dim · local · sin prefijo,"['of-001', 'of-002', 'of-004', 'of-005', 'of-015', 'of-016', 'of-018', 'of-019', 'of-020', 'gp-001', 'gp-002', 'gp-003', 'gp-015', 'gp-016', 'gp-017', 'gp-018', 'gp-020']"
8 · embeddings bge-base-en-v1.5,0.5,13/26,502.0,1.1076644269230131,768 dim · local · ~4x más grande,"['of-001', 'of-004', 'of-015', 'of-016', 'of-018', 'of-019', 'gp-002', 'gp-003', 'gp-016', 'gp-017', 'gp-018', 'gp-019', 'gp-020']"
8 · embeddings text-embedding-3-small,0.5384615384615384,14/26,4.0,0.9566648923075542,1536 dim · OpenAI · de pago,"['of-001', 'of-002', 'of-004', 'of-015', 'of-018', 'of-020', 'gp-002', 'gp-003', 'gp-017', 'gp-018', 'gp-019', 'gp-020']"
